 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
606|3.88268,0.0478845,0.0478845,0.0283497 | 10.714,0.499976,0.499976,0.0347757 | -0.0599508,0.0025328 | -2.60804,-0.171988
607|3.8826,0.0478838,0.0478838,0.0283481 | 10.7162,0.500093,0.500093,0.0347809 | -0.0600558,0.00253618 | -2.60735,-0.171925
608|3.88253,0.0478831,0.0478831,0.0283465 | 10.7183,0.500209,0.500209,0.0347862 | -0.0601605,0.00253955 | -2.60666,-0.171863
609|3.88245,0.0478824,0.0478824,0.028345 | 10.7205,0.500325,0.500325,0.0347914 | -0.0602647,0.00254291 | -2.60596,-0.1718
610|3.88238,0.0478817,0.0478817,0.0283434 | 10.7226,0.500441,0.500441,0.0347966 | -0.0603685,0.00254625 | -2.60526,-0.171737
611|3.8823,0.047881,0.047881,0.0283418 | 10.7248,0.500557,0.500557,0.0348018 | -0.060472,0.00254958 | -2.60456,-0.171674
612|3.88223,0.0478803,0.0478803,0.0283403 | 10.7269,0.500673,0.500673,0.034807 | -0.060575,0.0025529 | -2.60385,-0.171611
613|3.88215,0.0478796,0.0478796,0.0283387 | 10.7291,0.500788,0.500788,0.0348121 | -0.0606776,0.0025562 | -2.60315,-0.171548
614|3.88208,0.0478789,0.0478789,0.0283371 | 10.7312,0.500904,0.500904,0.0348173 | -0.0607799,0.00255949 | -2.60243,-0.171484
615|3.882,0.0478781,0.0478781,0.0283356 | 10.7334,0.501019,0.501019,0.0348225 | -0.0608817,0.00256276 | -2.60172,-0.171421
616|3.88193,0.0478774,0.0478774,0.028334 | 10.7355,0.501134,0.501134,0.0348277 | -0.0609831,0.00256603 | -2.601,-0.171357
617|3.88186,0.0478767,0.0478767,0.0283325 | 10.7377,0.50125,0.50125,0.0348328 | -0.0610841,0.00256927 | -2.60028,-0.171293
618|3.88178,0.047876,0.047876,0.0283309 | 10.7398,0.501365,0.501365,0.034838 | -0.0611848,0.00257251 | -2.59956,-0.171229
619|3.88171,0.0478753,0.0478753,0.0283294 | 10.742,0.50148,0.50148,0.0348431 | -0.061285,0.00257574 | -2.59883,-0.171165
620|3.88163,0.0478745,0.0478745,0.0283278 | 10.7441,0.501594,0.501594,0.0348483 | -0.0613848,0.00257895 | -2.5981,-0.1711
621|3.88156,0.0478738,0.0478738,0.0283262 | 10.7462,0.501709,0.501709,0.0348534 | -0.0614843,0.00258214 | -2.59737,-0.171036
622|3.88149,0.0478731,0.0478731,0.0283247 | 10.7484,0.501824,0.501824,0.0348586 | -0.0615833,0.00258532 | -2.59663,-0.170971
