 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
918|3.8662,0.0476264,0.0476264,0.0279457 | 11.278,0.530046,0.530046,0.0361207 | -0.0759336,0.00301566 | -2.27644,-0.146631
919|3.86616,0.0476256,0.0476256,0.0279447 | 11.2794,0.530121,0.530121,0.0361241 | -0.0759411,0.0030157 | -2.27512,-0.146538
920|3.86613,0.0476248,0.0476248,0.0279437 | 11.2809,0.530196,0.530196,0.0361274 | -0.0759485,0.00301571 | -2.2738,-0.146445
921|3.8661,0.047624,0.047624,0.0279427 | 11.2823,0.530271,0.530271,0.0361308 | -0.0759556,0.00301573 | -2.27248,-0.146352
922|3.86606,0.0476231,0.0476231,0.0279417 | 11.2837,0.530346,0.530346,0.0361341 | -0.0759626,0.00301573 | -2.27116,-0.146259
923|3.86603,0.0476223,0.0476223,0.0279407 | 11.2851,0.530421,0.530421,0.0361374 | -0.0759693,0.00301574 | -2.26984,-0.146166
924|3.866,0.0476215,0.0476215,0.0279397 | 11.2865,0.530495,0.530495,0.0361407 | -0.0759758,0.00301573 | -2.26852,-0.146073
925|3.86596,0.0476207,0.0476207,0.0279387 | 11.2879,0.53057,0.53057,0.0361441 | -0.0759822,0.00301571 | -2.26719,-0.14598
926|3.86593,0.0476199,0.0476199,0.0279377 | 11.2893,0.530644,0.530644,0.0361474 | -0.0759883,0.00301569 | -2.26587,-0.145886
927|3.86589,0.0476191,0.0476191,0.0279367 | 11.2907,0.530718,0.530718,0.0361507 | -0.0759942,0.00301566 | -2.26454,-0.145793
928|3.86586,0.0476182,0.0476182,0.0279357 | 11.2921,0.530792,0.530792,0.036154 | -0.0759999,0.00301562 | -2.26322,-0.1457
929|3.86583,0.0476174,0.0476174,0.0279347 | 11.2935,0.530866,0.530866,0.0361573 | -0.0760055,0.00301557 | -2.26189,-0.145607
930|3.86579,0.0476166,0.0476166,0.0279338 | 11.2949,0.53094,0.53094,0.0361606 | -0.0760108,0.00301552 | -2.26056,-0.145514
931|3.86576,0.0476158,0.0476158,0.0279328 | 11.2963,0.531014,0.531014,0.0361638 | -0.0760159,0.00301547 | -2.25924,-0.145421
932|3.86573,0.047615,0.047615,0.0279318 | 11.2977,0.531087,0.531087,0.0361671 | -0.0760208,0.0030154 | -2.25791,-0.145327
933|3.8657,0.0476142,0.0476142,0.0279308 | 11.2991,0.53116,0.53116,0.0361704 | -0.0760256,0.00301533 | -2.25658,-0.145234
934|3.86566,0.0476134,0.0476134,0.0279298 | 11.3005,0.531234,0.531234,0.0361737 | -0.0760301,0.00301525 | -2.25525,-0.145141
935|3.86563,0.0476126,0.0476126,0.0279289 | 11.3019,0.531307,0.531307,0.0361769 | -0.0760345,0.00301516 | -2.25392,-0.145047
936|3.8656,0.0476117,0.0476117,0.0279279 | 11.3033,0.53138,0.53138,0.0361802 | -0.0760386,0.00301507 | -2.25259,-0.144954
937|3.86556,0.0476109,0.0476109,0.0279269 | 11.3046,0.531452,0.531452,0.0361834 | -0.0760425,0.00301497 | -2.25125,-0.144861
938|3.86553,0.0476101,0.0476101,0.027926 | 11.306,0.531525,0.531525,0.0361866 | -0.0760463,0.00301487 | -2.24992,-0.144767
939|3.8655,0.0476093,0.0476093,0.027925 | 11.3074,0.531598,0.531598,0.0361899 | -0.0760499,0.00301475 | -2.24859,-0.144674
940|3.86547,0.0476085,0.0476085,0.027924 | 11.3088,0.53167,0.53167,0.0361931 | -0.0760532,0.00301463 | -2.24725,-0.14458
941|3.86544,0.0476077,0.0476077,0.0279231 | 11.3101,0.531742,0.531742,0.0361963 | -0.0760564,0.00301451 | -2.24592,-0.144487
942|3.8654,0.0476069,0.0476069,0.0279221 | 11.3115,0.531814,0.531814,0.0361995 | -0.0760594,0.00301438 | -2.24458,-0.144394
943|3.86537,0.0476061,0.0476061,0.0279212 | 11.3128,0.531886,0.531886,0.0362027 | -0.0760622,0.00301423 | -2.24325,-0.1443
944|3.86534,0.0476053,0.0476053,0.0279202 | 11.3142,0.531958,0.531958,0.0362059 | -0.0760648,0.00301409 | -2.24191,-0.144207
945|3.86531,0.0476045,0.0476045,0.0279192 | 11.3156,0.53203,0.53203,0.0362091 | -0.0760672,0.00301393 | -2.24057,-0.144113
946|3.86528,0.0476037,0.0476037,0.0279183 | 11.3169,0.532102,0.532102,0.0362123 | -0.0760694,0.00301378 | -2.23924,-0.14402
947|3.86524,0.0476029,0.0476029,0.0279173 | 11.3183,0.532173,0.532173,0.0362155 | -0.0760714,0.00301361 | -2.2379,-0.143926
948|3.86521,0.0476021,0.0476021,0.0279164 | 11.3196,0.532244,0.532244,0.0362187 | -0.0760733,0.00301343 | -2.23656,-0.143833
949|3.86518,0.0476013,0.0476013,0.0279154 | 11.321,0.532316,0.532316,0.0362219 | -0.0760749,0.00301326 | -2.23522,-0.143739
950|3.86515,0.0476005,0.0476005,0.0279145 | 11.3223,0.532387,0.532387,0.036225 | -0.0760764,0.00301307 | -2.23388,-0.143645
951|3.86512,0.0475997,0.0475997,0.0279136 | 11.3237,0.532457,0.532457,0.0362282 | -0.0760777,0.00301287 | -2.23254,-0.143552
952|3.86509,0.0475989,0.0475989,0.0279126 | 11.325,0.532528,0.532528,0.0362313 | -0.0760788,0.00301268 | -2.2312,-0.143458
953|3.86506,0.0475981,0.0475981,0.0279117 | 11.3263,0.532599,0.532599,0.0362345 | -0.0760797,0.00301247 | -2.22985,-0.143365
954|3.86502,0.0475973,0.0475973,0.0279107 | 11.3277,0.532669,0.532669,0.0362376 | -0.0760805,0.00301226 | -2.22851,-0.143271
955|3.86499,0.0475966,0.0475966,0.0279098 | 11.329,0.53274,0.53274,0.0362408 | -0.076081,0.00301204 | -2.22717,-0.143178
956|3.86496,0.0475958,0.0475958,0.0279089 | 11.3303,0.53281,0.53281,0.0362439 | -0.0760814,0.00301181 | -2.22582,-0.143084
957|3.86493,0.047595,0.047595,0.0279079 | 11.3317,0.53288,0.53288,0.036247 | -0.0760816,0.00301158 | -2.22448,-0.14299
958|3.8649,0.0475942,0.0475942,0.027907 | 11.333,0.53295,0.53295,0.0362501 | -0.0760816,0.00301134 | -2.22314,-0.142897
959|3.86487,0.0475934,0.0475934,0.0279061 | 11.3343,0.53302,0.53302,0.0362532 | -0.0760814,0.0030111 | -2.22179,-0.142803
960|3.86484,0.0475926,0.0475926,0.0279052 | 11.3356,0.53309,0.53309,0.0362563 | -0.0760811,0.00301084 | -2.22044,-0.142709
961|3.86481,0.0475918,0.0475918,0.0279042 | 11.3369,0.533159,0.533159,0.0362594 | -0.0760806,0.00301058 | -2.2191,-0.142616
962|3.86478,0.047591,0.047591,0.0279033 | 11.3383,0.533228,0.533228,0.0362625 | -0.0760799,0.00301031 | -2.21775,-0.142522
963|3.86475,0.0475903,0.0475903,0.0279024 | 11.3396,0.533298,0.533298,0.0362656 | -0.076079,0.00301005 | -2.2164,-0.142428
964|3.86472,0.0475895,0.0475895,0.0279015 | 11.3409,0.533367,0.533367,0.0362687 | -0.076078,0.00300977 | -2.21506,-0.142335
965|3.86469,0.0475887,0.0475887,0.0279005 | 11.3422,0.533436,0.533436,0.0362718 | -0.0760767,0.00300949 | -2.21371,-0.142241
966|3.86466,0.0475879,0.0475879,0.0278996 | 11.3435,0.533505,0.533505,0.0362748 | -0.0760753,0.0030092 | -2.21236,-0.142147
967|3.86463,0.0475871,0.0475871,0.0278987 | 11.3448,0.533573,0.533573,0.0362779 | -0.0760738,0.00300891 | -2.21101,-0.142054
968|3.8646,0.0475863,0.0475863,0.0278978 | 11.3461,0.533642,0.533642,0.036281 | -0.076072,0.00300861 | -2.20966,-0.14196
969|3.86457,0.0475856,0.0475856,0.0278969 | 11.3474,0.533711,0.533711,0.036284 | -0.0760701,0.00300831 | -2.20831,-0.141866
970|3.86454,0.0475848,0.0475848,0.027896 | 11.3487,0.533779,0.533779,0.0362871 | -0.076068,0.00300799 | -2.20696,-0.141772
971|3.86451,0.047584,0.047584,0.0278951 | 11.35,0.533847,0.533847,0.0362901 | -0.0760657,0.00300767 | -2.20561,-0.141679
972|3.86448,0.0475832,0.0475832,0.0278942 | 11.3513,0.533915,0.533915,0.0362931 | -0.0760633,0.00300735 | -2.20426,-0.141585
973|3.86445,0.0475825,0.0475825,0.0278933 | 11.3526,0.533983,0.533983,0.0362961 | -0.0760607,0.00300702 | -2.20291,-0.141491
974|3.86442,0.0475817,0.0475817,0.0278924 | 11.3539,0.534051,0.534051,0.0362992 | -0.0760579,0.00300668 | -2.20155,-0.141397
975|3.86439,0.0475809,0.0475809,0.0278915 | 11.3551,0.534119,0.534119,0.0363022 | -0.0760549,0.00300634 | -2.2002,-0.141304
976|3.86436,0.0475801,0.0475801,0.0278906 | 11.3564,0.534186,0.534186,0.0363052 | -0.0760518,0.00300599 | -2.19885,-0.14121
977|3.86433,0.0475794,0.0475794,0.0278897 | 11.3577,0.534253,0.534253,0.0363082 | -0.0760485,0.00300563 | -2.19749,-0.141116
978|3.8643,0.0475786,0.0475786,0.0278888 | 11.359,0.534321,0.534321,0.0363112 | -0.0760451,0.00300527 | -2.19614,-0.141023
979|3.86427,0.0475778,0.0475778,0.0278879 | 11.3602,0.534388,0.534388,0.0363142 | -0.0760415,0.0030049 | -2.19479,-0.140929
980|3.86425,0.0475771,0.0475771,0.027887 | 11.3615,0.534455,0.534455,0.0363172 | -0.0760377,0.00300453 | -2.19343,-0.140835
981|3.86422,0.0475763,0.0475763,0.0278861 | 11.3628,0.534522,0.534522,0.0363201 | -0.0760337,0.00300416 | -2.19208,-0.140741
982|3.86419,0.0475755,0.0475755,0.0278852 | 11.364,0.534588,0.534588,0.0363231 | -0.0760296,0.00300377 | -2.19072,-0.140648
983|3.86416,0.0475748,0.0475748,0.0278844 | 11.3653,0.534655,0.534655,0.0363261 | -0.0760253,0.00300338 | -2.18937,-0.140554
984|3.86413,0.047574,0.047574,0.0278835 | 11.3666,0.534721,0.534721,0.036329 | -0.0760209,0.00300298 | -2.18801,-0.14046
985|3.8641,0.0475732,0.0475732,0.0278826 | 11.3678,0.534788,0.534788,0.036332 | -0.0760163,0.00300258 | -2.18665,-0.140366
986|3.86407,0.0475725,0.0475725,0.0278817 | 11.3691,0.534854,0.534854,0.0363349 | -0.0760116,0.00300217 | -2.1853,-0.140273
987|3.86405,0.0475717,0.0475717,0.0278808 | 11.3703,0.53492,0.53492,0.0363379 | -0.0760066,0.00300176 | -2.18394,-0.140179
988|3.86402,0.047571,0.047571,0.02788 | 11.3716,0.534986,0.534986,0.0363408 | -0.0760016,0.00300134 | -2.18258,-0.140085
989|3.86399,0.0475702,0.0475702,0.0278791 | 11.3728,0.535052,0.535052,0.0363437 | -0.0759963,0.00300092 | -2.18123,-0.139992
990|3.86396,0.0475694,0.0475694,0.0278782 | 11.3741,0.535117,0.535117,0.0363466 | -0.0759909,0.00300049 | -2.17987,-0.139898
991|3.86393,0.0475687,0.0475687,0.0278773 | 11.3753,0.535183,0.535183,0.0363496 | -0.0759854,0.00300005 | -2.17851,-0.139804
992|3.8639,0.0475679,0.0475679,0.0278765 | 11.3766,0.535248,0.535248,0.0363525 | -0.0759797,0.00299961 | -2.17715,-0.139711
993|3.86388,0.0475672,0.0475672,0.0278756 | 11.3778,0.535313,0.535313,0.0363554 | -0.0759738,0.00299916 | -2.17579,-0.139617
994|3.86385,0.0475664,0.0475664,0.0278747 | 11.379,0.535378,0.535378,0.0363583 | -0.0759678,0.00299871 | -2.17443,-0.139523
995|3.86382,0.0475657,0.0475657,0.0278739 | 11.3803,0.535443,0.535443,0.0363612 | -0.0759616,0.00299825 | -2.17307,-0.13943
996|3.86379,0.0475649,0.0475649,0.027873 | 11.3815,0.535508,0.535508,0.0363641 | -0.0759553,0.00299779 | -2.17172,-0.139336
997|3.86377,0.0475642,0.0475642,0.0278722 | 11.3827,0.535573,0.535573,0.0363669 | -0.0759488,0.00299732 | -2.17036,-0.139242
998|3.86374,0.0475634,0.0475634,0.0278713 | 11.3839,0.535638,0.535638,0.0363698 | -0.0759422,0.00299685 | -2.169,-0.139149
999|3.86371,0.0475627,0.0475627,0.0278705 | 11.3852,0.535702,0.535702,0.0363727 | -0.0759354,0.00299637 | -2.16764,-0.139055
1000|3.86368,0.0475619,0.0475619,0.0278696 | 11.3864,0.535766,0.535766,0.0363755 | -0.0759284,0.00299589 | -2.16628,-0.138961
